match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,shots_in_pts_won,shots_in_pts_lost
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,F-XC,36,6,1,1,4,14,22
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,F-DTM,45,9,1,2,6,12,33
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,F-DTL,18,8,5,2,1,14,4
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,F-IO,29,10,5,2,3,17,12
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,B-XC,49,5,1,1,3,23,26
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,B-DTM,50,4,0,0,4,20,30
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,B-DTL,15,6,4,1,1,10,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,B-IO,12,7,1,1,5,5,7
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,S-XC,2,0,0,0,0,2,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,S-DTM,5,0,0,0,0,1,4
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,S-DTL,1,0,0,0,0,0,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,F-XC,44,15,5,5,5,25,19
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,F-DTM,48,10,0,2,8,21,27
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,F-DTL,9,6,3,1,2,6,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,F-IO,20,9,4,2,3,12,8
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,F-II,2,1,1,0,0,1,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,B-XC,43,8,3,4,1,32,11
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,B-DTM,70,12,0,0,12,26,44
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,B-DTL,12,1,1,0,0,7,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,B-IO,12,4,1,0,3,7,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,S-XC,2,1,0,1,0,1,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,S-DTM,4,0,0,0,0,1,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,S-DTL,2,1,0,1,0,2,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,S-IO,2,2,2,0,0,2,0
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-XC,31,3,1,2,0,25,6
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-DTM,24,2,1,0,1,13,11
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-DTL,19,8,3,3,2,12,7
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,F-IO,10,1,0,1,0,6,4
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-XC,21,4,1,2,1,17,4
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-DTM,36,1,0,0,1,17,19
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-DTL,5,2,1,0,1,2,3
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,B-IO,8,1,0,0,1,5,3
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,S-XC,2,0,0,0,0,1,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,S-DTM,4,0,0,0,0,3,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,S-DTL,1,0,0,0,0,0,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-XC,31,6,0,3,3,11,20
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-DTM,32,6,1,0,5,13,19
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-DTL,12,4,1,1,2,4,8
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,F-IO,22,7,2,2,3,10,12
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,B-XC,33,8,1,0,7,11,22
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,B-DTM,22,3,0,0,3,9,13
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,B-DTL,11,6,2,0,4,2,9
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,B-IO,8,1,1,0,0,4,4
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,S-XC,1,0,0,0,0,0,1
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,S-DTM,1,0,0,0,0,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,F-XC,37,13,3,3,7,18,19
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,F-DTM,42,4,0,1,3,18,24
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,F-DTL,5,4,1,1,2,3,2
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,F-IO,22,12,4,0,8,8,14
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,F-II,1,0,0,0,0,0,1
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,B-XC,19,5,2,1,2,11,8
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,B-DTM,28,6,0,0,6,8,20
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,B-DTL,8,3,0,0,3,1,7
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,B-IO,5,2,1,1,0,3,2
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,S-DTM,1,0,0,0,0,1,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,F-XC,27,5,2,0,3,15,12
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,F-DTM,57,7,0,0,7,31,26
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,F-DTL,4,1,0,0,1,0,4
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,F-IO,15,6,2,4,0,12,3
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,F-II,1,0,0,0,0,1,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,B-XC,12,3,2,0,1,8,4
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,B-DTM,19,1,0,0,1,13,6
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,B-DTL,5,1,1,0,0,2,3
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,B-IO,4,1,0,0,1,2,2
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,S-XC,1,0,0,0,0,1,0
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,S-DTM,4,0,0,0,0,1,3
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,S-DTL,1,0,0,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,F-XC,73,15,5,4,6,43,30
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,F-DTM,50,5,1,1,3,22,28
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,F-DTL,10,7,1,1,5,4,6
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,F-IO,26,10,2,3,5,12,14
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,F-II,5,3,1,1,1,3,2
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,B-XC,45,5,0,2,3,28,17
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,B-DTM,61,7,0,1,6,31,30
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,B-DTL,3,1,0,0,1,2,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,B-IO,4,1,0,0,1,2,2
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,S-XC,6,1,0,1,0,3,3
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,S-DTM,11,0,0,0,0,6,5
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,S-DTL,2,1,0,1,0,1,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,F-XC,61,12,2,2,8,31,30
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,F-DTM,62,7,0,0,7,26,36
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,F-DTL,19,5,2,0,3,9,10
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,F-IO,30,6,0,1,5,14,16
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,F-II,1,0,0,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,B-XC,52,10,1,1,8,22,30
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,B-DTM,48,1,1,0,0,24,24
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,B-DTL,6,1,0,1,0,3,3
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,B-IO,6,2,2,0,0,5,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,S-XC,1,0,0,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,S-DTM,2,0,0,0,0,0,2
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,S-DTL,1,1,1,0,0,1,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,S-IO,1,1,0,0,1,0,1
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,F-XC,28,8,2,1,5,17,11
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,F-DTM,15,1,0,0,1,7,8
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,F-DTL,3,0,0,0,0,3,0
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,F-IO,6,3,1,1,1,3,3
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,B-XC,21,13,8,2,3,16,5
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,B-DTM,17,1,0,0,1,9,8
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,B-DTL,9,6,5,0,1,6,3
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,B-IO,2,2,1,1,0,2,0
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,1,S-DTM,1,0,0,0,0,0,1
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,F-XC,26,9,2,4,3,15,11
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,F-DTM,12,2,0,0,2,4,8
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,F-DTL,12,2,0,0,2,3,9
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,F-IO,9,5,2,2,1,6,3
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,B-XC,14,6,3,1,2,8,6
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,B-DTM,9,0,0,0,0,4,5
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,B-DTL,4,2,0,0,2,0,4
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,B-IO,7,1,1,0,0,3,4
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,S-XC,2,0,0,0,0,0,2
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,S-DTM,2,0,0,0,0,1,1
20120429-W-Stuttgart-F-Maria_Sharapova-Victoria_Azarenka,2,S-DTL,1,0,0,0,0,0,1
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,F-XC,36,6,3,1,2,21,15
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,F-DTM,38,0,0,0,0,26,12
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,F-DTL,15,2,1,1,0,11,4
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,F-IO,22,2,1,1,0,13,9
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,F-II,1,0,0,0,0,0,1
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,B-XC,52,4,2,1,1,37,15
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,B-DTM,58,6,0,0,6,28,30
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,B-DTL,12,3,1,0,2,9,3
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,B-IO,14,4,1,1,2,12,2
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,S-XC,9,3,0,3,0,7,2
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,S-DTM,13,0,0,0,0,5,8
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,1,S-DTL,4,2,2,0,0,3,1
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,F-XC,43,11,2,2,7,14,29
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,F-DTM,25,1,0,0,1,9,16
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,F-DTL,23,6,3,0,3,10,13
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,F-IO,38,16,4,2,10,16,22
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,F-II,1,0,0,0,0,1,0
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,B-XC,66,11,3,3,5,24,42
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,B-DTM,50,5,0,0,5,21,29
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,B-DTL,17,6,2,1,3,7,10
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,B-IO,19,6,1,3,2,9,10
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,S-XC,9,1,1,0,0,3,6
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,S-DTM,11,1,0,0,1,3,8
20140122-W-Australian_Open-QF-Agnieszka_Radwanska-Victoria_Azarenka,2,S-IO,2,0,0,0,0,1,1
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,F-XC,45,15,7,3,5,26,19
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,F-DTM,23,1,0,0,1,12,11
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,F-DTL,11,2,0,0,2,4,7
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,F-IO,25,8,6,1,1,20,5
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,F-II,3,1,0,0,1,2,1
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,B-XC,82,18,7,2,9,43,39
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,B-DTM,41,5,0,0,5,13,28
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,B-DTL,13,7,3,1,3,8,5
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,B-IO,9,8,5,1,2,7,2
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,S-XC,2,0,0,0,0,1,1
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,S-DTM,4,0,0,0,0,2,2
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,1,S-DTL,1,0,0,0,0,0,1
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,F-XC,38,12,8,1,3,27,11
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,F-DTM,38,7,1,1,5,16,22
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,F-DTL,13,6,3,0,3,6,7
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,F-IO,27,5,2,0,3,16,11
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,F-II,4,2,0,1,1,3,1
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,B-XC,49,11,2,3,6,29,20
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,B-DTM,42,7,0,1,6,11,31
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,B-DTL,2,1,1,0,0,1,1
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,B-IO,2,1,0,0,1,0,2
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,S-XC,8,0,0,0,0,2,6
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,S-DTM,18,1,0,0,1,5,13
20140121-W-Australian_Open-QF-Eugenie_Bouchard-Ana_Ivanovic,2,S-DTL,7,1,0,0,1,2,5
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,F-XC,14,3,0,1,2,4,10
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,F-DTM,12,1,0,1,0,5,7
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,F-DTL,3,2,0,0,2,0,3
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,F-IO,10,2,1,0,1,6,4
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-XC,48,10,1,3,6,19,29
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-DTM,43,6,0,0,6,13,30
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-DTL,6,2,0,1,1,1,5
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-IO,9,3,1,1,1,3,6
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,S-DTM,3,0,0,0,0,0,3
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-XC,21,13,5,1,7,14,7
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-DTM,14,1,0,1,0,13,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-DTL,14,6,4,1,1,12,2
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-IO,28,12,5,3,4,22,6
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-II,2,2,0,1,1,1,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-XC,18,4,0,0,4,7,11
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-DTM,34,2,0,1,1,20,14
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-DTL,4,4,1,1,2,2,2
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-IO,2,0,0,0,0,1,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-XC,5,0,0,0,0,2,3
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-DTM,12,0,0,0,0,8,4
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-DTL,2,0,0,0,0,1,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-IO,1,0,0,0,0,1,0
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-XC,35,8,2,0,6,15,20
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-DTM,70,11,0,0,11,34,36
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-DTL,16,9,2,1,6,9,7
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-IO,28,10,3,3,4,14,14
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-II,1,1,1,0,0,1,0
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-XC,48,11,3,2,6,19,29
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-DTM,62,2,0,0,2,29,33
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-DTL,9,5,1,1,3,4,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-IO,8,3,1,1,1,3,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,S-XC,9,2,0,0,2,5,4
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,S-DTM,15,1,0,0,1,7,8
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,S-DTL,1,0,0,0,0,1,0
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-XC,32,5,1,1,3,15,17
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-DTM,48,4,0,0,4,28,20
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-DTL,7,2,0,1,1,2,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-IO,32,10,3,2,5,13,19
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-XC,48,11,2,2,7,23,25
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-DTM,86,11,1,0,10,43,43
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-DTL,8,4,3,0,1,5,3
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-IO,18,7,1,0,6,9,9
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,S-XC,2,0,0,0,0,0,2
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,S-DTM,3,0,0,0,0,1,2
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-XC,53,3,1,1,1,32,21
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-DTM,100,8,0,1,7,28,72
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-DTL,18,4,1,0,3,8,10
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-IO,31,9,2,1,6,17,14
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-XC,48,8,6,0,2,24,24
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-DTM,53,6,1,0,5,21,32
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-DTL,12,4,1,1,2,8,4
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-IO,26,7,1,0,6,10,16
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,S-XC,1,0,0,0,0,1,0
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,S-DTM,6,1,0,0,1,2,4
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,S-DTL,1,0,0,0,0,1,0
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,2,F-XC,88,12,3,1,8,54,34
